"Label (Grouping)","Alabama!!Estimate","Alabama!!Estimate Margin of Error","Alabama!!Percent","Alabama!!Percent Margin of Error","Alaska!!Estimate","Alaska!!Estimate Margin of Error","Alaska!!Percent","Alaska!!Percent Margin of Error","Arizona!!Estimate","Arizona!!Estimate Margin of Error","Arizona!!Percent","Arizona!!Percent Margin of Error","Arkansas!!Estimate","Arkansas!!Estimate Margin of Error","Arkansas!!Percent","Arkansas!!Percent Margin of Error","California!!Estimate","California!!Estimate Margin of Error","California!!Percent","California!!Percent Margin of Error","Colorado!!Estimate","Colorado!!Estimate Margin of Error","Colorado!!Percent","Colorado!!Percent Margin of Error","Connecticut!!Estimate","Connecticut!!Estimate Margin of Error","Connecticut!!Percent","Connecticut!!Percent Margin of Error","Delaware!!Estimate","Delaware!!Estimate Margin of Error","Delaware!!Percent","Delaware!!Percent Margin of Error","District of Columbia!!Estimate","District of Columbia!!Estimate Margin of Error","District of Columbia!!Percent","District of Columbia!!Percent Margin of Error","Florida!!Estimate","Florida!!Estimate Margin of Error","Florida!!Percent","Florida!!Percent Margin of Error","Georgia!!Estimate","Georgia!!Estimate Margin of Error","Georgia!!Percent","Georgia!!Percent Margin of Error","Hawaii!!Estimate","Hawaii!!Estimate Margin of Error","Hawaii!!Percent","Hawaii!!Percent Margin of Error","Idaho!!Estimate","Idaho!!Estimate Margin of Error","Idaho!!Percent","Idaho!!Percent Margin of Error","Illinois!!Estimate","Illinois!!Estimate Margin of Error","Illinois!!Percent","Illinois!!Percent Margin of Error","Indiana!!Estimate","Indiana!!Estimate Margin of Error","Indiana!!Percent","Indiana!!Percent Margin of Error","Iowa!!Estimate","Iowa!!Estimate Margin of Error","Iowa!!Percent","Iowa!!Percent Margin of Error","Kansas!!Estimate","Kansas!!Estimate Margin of Error","Kansas!!Percent","Kansas!!Percent Margin of Error","Kentucky!!Estimate","Kentucky!!Estimate Margin of Error","Kentucky!!Percent","Kentucky!!Percent Margin of Error","Louisiana!!Estimate","Louisiana!!Estimate Margin of Error","Louisiana!!Percent","Louisiana!!Percent Margin of Error","Maine!!Estimate","Maine!!Estimate Margin of Error","Maine!!Percent","Maine!!Percent Margin of Error","Maryland!!Estimate","Maryland!!Estimate Margin of Error","Maryland!!Percent","Maryland!!Percent Margin of Error","Massachusetts!!Estimate","Massachusetts!!Estimate Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","Michigan!!Estimate","Michigan!!Estimate Margin of Error","Michigan!!Percent","Michigan!!Percent Margin of Error","Minnesota!!Estimate","Minnesota!!Estimate Margin of Error","Minnesota!!Percent","Minnesota!!Percent Margin of Error","Mississippi!!Estimate","Mississippi!!Estimate Margin of Error","Mississippi!!Percent","Mississippi!!Percent Margin of Error","Missouri!!Estimate","Missouri!!Estimate Margin of Error","Missouri!!Percent","Missouri!!Percent Margin of Error","Montana!!Estimate","Montana!!Estimate Margin of Error","Montana!!Percent","Montana!!Percent Margin of Error","Nebraska!!Estimate","Nebraska!!Estimate Margin of Error","Nebraska!!Percent","Nebraska!!Percent Margin of Error","Nevada!!Estimate","Nevada!!Estimate Margin of Error","Nevada!!Percent","Nevada!!Percent Margin of Error","New Hampshire!!Estimate","New Hampshire!!Estimate Margin of Error","New Hampshire!!Percent","New Hampshire!!Percent Margin of Error","New Jersey!!Estimate","New Jersey!!Estimate Margin of Error","New Jersey!!Percent","New Jersey!!Percent Margin of Error","New Mexico!!Estimate","New Mexico!!Estimate Margin of Error","New Mexico!!Percent","New Mexico!!Percent Margin of Error","New York!!Estimate","New York!!Estimate Margin of Error","New York!!Percent","New York!!Percent Margin of Error","North Carolina!!Estimate","North Carolina!!Estimate Margin of Error","North Carolina!!Percent","North Carolina!!Percent Margin of Error","North Dakota!!Estimate","North Dakota!!Estimate Margin of Error","North Dakota!!Percent","North Dakota!!Percent Margin of Error","Ohio!!Estimate","Ohio!!Estimate Margin of Error","Ohio!!Percent","Ohio!!Percent Margin of Error","Oklahoma!!Estimate","Oklahoma!!Estimate Margin of Error","Oklahoma!!Percent","Oklahoma!!Percent Margin of Error","Oregon!!Estimate","Oregon!!Estimate Margin of Error","Oregon!!Percent","Oregon!!Percent Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Estimate Margin of Error","Pennsylvania!!Percent","Pennsylvania!!Percent Margin of Error","Rhode Island!!Estimate","Rhode Island!!Estimate Margin of Error","Rhode Island!!Percent","Rhode Island!!Percent Margin of Error","South Carolina!!Estimate","South Carolina!!Estimate Margin of Error","South Carolina!!Percent","South Carolina!!Percent Margin of Error","South Dakota!!Estimate","South Dakota!!Estimate Margin of Error","South Dakota!!Percent","South Dakota!!Percent Margin of Error","Tennessee!!Estimate","Tennessee!!Estimate Margin of Error","Tennessee!!Percent","Tennessee!!Percent Margin of Error","Texas!!Estimate","Texas!!Estimate Margin of Error","Texas!!Percent","Texas!!Percent Margin of Error","Utah!!Estimate","Utah!!Estimate Margin of Error","Utah!!Percent","Utah!!Percent Margin of Error","Vermont!!Estimate","Vermont!!Estimate Margin of Error","Vermont!!Percent","Vermont!!Percent Margin of Error","Virginia!!Estimate","Virginia!!Estimate Margin of Error","Virginia!!Percent","Virginia!!Percent Margin of Error","Washington!!Estimate","Washington!!Estimate Margin of Error","Washington!!Percent","Washington!!Percent Margin of Error","West Virginia!!Estimate","West Virginia!!Estimate Margin of Error","West Virginia!!Percent","West Virginia!!Percent Margin of Error","Wisconsin!!Estimate","Wisconsin!!Estimate Margin of Error","Wisconsin!!Percent","Wisconsin!!Percent Margin of Error","Wyoming!!Estimate","Wyoming!!Estimate Margin of Error","Wyoming!!Percent","Wyoming!!Percent Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Estimate Margin of Error","Puerto Rico!!Percent","Puerto Rico!!Percent Margin of Error"
"SEX AND AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","4,785,298","*****","4,785,298","(X)","713,985","*****","713,985","(X)","6,413,737","*****","6,413,737","(X)","2,921,606","*****","2,921,606","(X)","37,349,363","*****","37,349,363","(X)","5,049,071","*****","5,049,071","(X)","3,577,073","*****","3,577,073","(X)","899,769","*****","899,769","(X)","604,453","*****","604,453","(X)","18,843,326","*****","18,843,326","(X)","9,712,587","*****","9,712,587","(X)","1,363,621","*****","1,363,621","(X)","1,571,450","*****","1,571,450","(X)","12,843,166","*****","12,843,166","(X)","6,490,621","*****","6,490,621","(X)","3,049,883","*****","3,049,883","(X)","2,859,169","*****","2,859,169","(X)","4,346,266","*****","4,346,266","(X)","4,544,228","*****","4,544,228","(X)","1,327,567","*****","1,327,567","(X)","5,785,982","*****","5,785,982","(X)","6,557,254","*****","6,557,254","(X)","9,877,574","*****","9,877,574","(X)","5,310,584","*****","5,310,584","(X)","2,970,036","*****","2,970,036","(X)","5,996,231","*****","5,996,231","(X)","990,898","*****","990,898","(X)","1,830,429","*****","1,830,429","(X)","2,704,642","*****","2,704,642","(X)","1,316,759","*****","1,316,759","(X)","8,801,624","*****","8,801,624","(X)","2,065,932","*****","2,065,932","(X)","19,392,283","*****","19,392,283","(X)","9,561,558","*****","9,561,558","(X)","674,499","*****","674,499","(X)","11,536,182","*****","11,536,182","(X)","3,761,702","*****","3,761,702","(X)","3,838,957","*****","3,838,957","(X)","12,709,630","*****","12,709,630","(X)","1,052,886","*****","1,052,886","(X)","4,636,312","*****","4,636,312","(X)","816,463","*****","816,463","(X)","6,356,897","*****","6,356,897","(X)","25,257,114","*****","25,257,114","(X)","2,776,469","*****","2,776,469","(X)","625,960","*****","625,960","(X)","8,024,617","*****","8,024,617","(X)","6,744,496","*****","6,744,496","(X)","1,853,973","*****","1,853,973","(X)","5,691,047","*****","5,691,047","(X)","564,460","*****","564,460","(X)","3,722,133","*****","3,722,133","(X)"
"    Male","2,322,243","±4,446","48.5%","±0.1","372,436","±1,772","52.2%","±0.2","3,190,700","±2,757","49.7%","±0.1","1,430,837","±4,306","49.0%","±0.1","18,570,505","±5,032","49.7%","±0.1","2,531,362","±3,639","50.1%","±0.1","1,738,918","±1,627","48.6%","±0.1","436,608","±1,451","48.5%","±0.2","285,729","±795","47.3%","±0.1","9,212,548","±5,887","48.9%","±0.1","4,742,754","±6,636","48.8%","±0.1","684,087","±1,583","50.2%","±0.1","787,506","±2,645","50.1%","±0.2","6,294,434","±5,283","49.0%","±0.1","3,197,124","±3,805","49.3%","±0.1","1,505,879","±3,896","49.4%","±0.1","1,417,134","±3,693","49.6%","±0.1","2,140,493","±4,037","49.2%","±0.1","2,227,014","±4,151","49.0%","±0.1","648,889","±1,474","48.9%","±0.1","2,799,597","±3,400","48.4%","±0.1","3,170,167","±2,392","48.3%","±0.1","4,848,760","±3,767","49.1%","±0.1","2,635,397","±3,097","49.6%","±0.1","1,441,525","±4,150","48.5%","±0.1","2,932,383","±4,144","48.9%","±0.1","499,235","±2,028","50.4%","±0.2","906,540","±2,253","49.5%","±0.1","1,365,498","±2,352","50.5%","±0.1","647,349","±1,875","49.2%","±0.1","4,284,049","±2,455","48.7%","±0.1","1,020,996","±2,983","49.4%","±0.1","9,387,534","±4,174","48.4%","±0.1","4,657,156","±7,691","48.7%","±0.1","343,445","±1,580","50.9%","±0.2","5,630,118","±4,606","48.8%","±0.1","1,856,245","±4,017","49.3%","±0.1","1,902,185","±3,522","49.5%","±0.1","6,192,105","±4,822","48.7%","±0.1","508,198","±1,277","48.3%","±0.1","2,253,035","±4,319","48.6%","±0.1","411,170","±2,367","50.4%","±0.3","3,095,030","±5,512","48.7%","±0.1","12,531,720","±7,396","49.6%","±0.1","1,397,849","±2,069","50.3%","±0.1","308,172","±1,012","49.2%","±0.2","3,941,957","±5,811","49.1%","±0.1","3,358,423","±3,276","49.8%","±0.1","913,160","±2,808","49.3%","±0.2","2,826,199","±3,414","49.7%","±0.1","287,053","±2,431","50.9%","±0.4","1,785,266","±2,651","48.0%","±0.1"
"    Female","2,463,055","±4,446","51.5%","±0.1","341,549","±1,772","47.8%","±0.2","3,223,037","±2,757","50.3%","±0.1","1,490,769","±4,306","51.0%","±0.1","18,778,858","±5,032","50.3%","±0.1","2,517,709","±3,639","49.9%","±0.1","1,838,155","±1,627","51.4%","±0.1","463,161","±1,451","51.5%","±0.2","318,724","±795","52.7%","±0.1","9,630,778","±5,887","51.1%","±0.1","4,969,833","±6,636","51.2%","±0.1","679,534","±1,583","49.8%","±0.1","783,944","±2,645","49.9%","±0.2","6,548,732","±5,283","51.0%","±0.1","3,293,497","±3,805","50.7%","±0.1","1,544,004","±3,896","50.6%","±0.1","1,442,035","±3,693","50.4%","±0.1","2,205,773","±4,037","50.8%","±0.1","2,317,214","±4,151","51.0%","±0.1","678,678","±1,474","51.1%","±0.1","2,986,385","±3,400","51.6%","±0.1","3,387,087","±2,392","51.7%","±0.1","5,028,814","±3,767","50.9%","±0.1","2,675,187","±3,097","50.4%","±0.1","1,528,511","±4,150","51.5%","±0.1","3,063,848","±4,144","51.1%","±0.1","491,663","±2,028","49.6%","±0.2","923,889","±2,253","50.5%","±0.1","1,339,144","±2,352","49.5%","±0.1","669,410","±1,875","50.8%","±0.1","4,517,575","±2,455","51.3%","±0.1","1,044,936","±2,983","50.6%","±0.1","10,004,749","±4,174","51.6%","±0.1","4,904,402","±7,691","51.3%","±0.1","331,054","±1,580","49.1%","±0.2","5,906,064","±4,606","51.2%","±0.1","1,905,457","±4,017","50.7%","±0.1","1,936,772","±3,522","50.5%","±0.1","6,517,525","±4,822","51.3%","±0.1","544,688","±1,277","51.7%","±0.1","2,383,277","±4,319","51.4%","±0.1","405,293","±2,367","49.6%","±0.3","3,261,867","±5,512","51.3%","±0.1","12,725,394","±7,396","50.4%","±0.1","1,378,620","±2,069","49.7%","±0.1","317,788","±1,012","50.8%","±0.2","4,082,660","±5,811","50.9%","±0.1","3,386,073","±3,276","50.2%","±0.1","940,813","±2,808","50.7%","±0.2","2,864,848","±3,414","50.3%","±0.1","277,407","±2,431","49.1%","±0.4","1,936,867","±2,651","52.0%","±0.1"
"    Under 5 years","308,069","±3,071","6.4%","±0.1","53,582","±1,218","7.5%","±0.2","455,776","±1,719","7.1%","±0.1","194,451","±2,544","6.7%","±0.1","2,528,898","±2,428","6.8%","±0.1","342,277","±1,540","6.8%","±0.1","201,685","±930","5.6%","±0.1","56,095","±492","6.2%","±0.1","32,861","±205","5.4%","±0.1","1,067,986","±3,060","5.7%","±0.1","682,314","±3,859","7.0%","±0.1","86,693","±794","6.4%","±0.1","120,708","±1,276","7.7%","±0.1","832,931","±1,928","6.5%","±0.1","433,315","±2,657","6.7%","±0.1","199,665","±1,644","6.5%","±0.1","205,100","±2,092","7.2%","±0.1","279,755","±2,796","6.4%","±0.1","314,008","±2,141","6.9%","±0.1","68,570","±1,059","5.2%","±0.1","364,928","±1,691","6.3%","±0.1","366,335","±1,253","5.6%","±0.1","592,380","±1,880","6.0%","±0.1","356,118","±2,431","6.7%","±0.1","209,079","±2,020","7.0%","±0.1","387,426","±2,820","6.5%","±0.1","61,872","±1,254","6.2%","±0.1","131,637","±1,551","7.2%","±0.1","186,705","±984","6.9%","±0.1","68,873","±761","5.2%","±0.1","538,571","±967","6.1%","±0.1","144,016","±1,725","7.0%","±0.1","1,150,819","±2,509","5.9%","±0.1","632,020","±3,786","6.6%","±0.1","44,441","±1,008","6.6%","±0.1","716,052","±2,298","6.2%","±0.1","263,904","±2,289","7.0%","±0.1","236,032","±2,022","6.1%","±0.1","726,391","±2,423","5.7%","±0.1","57,112","±935","5.4%","±0.1","301,793","±2,336","6.5%","±0.1","57,488","±1,090","7.0%","±0.1","406,413","±2,840","6.4%","±0.1","1,929,338","±4,319","7.6%","±0.1","263,603","±1,228","9.5%","±0.1","32,268","±756","5.2%","±0.1","507,432","±3,129","6.3%","±0.1","438,209","±2,020","6.5%","±0.1","101,877","±1,822","5.5%","±0.1","355,052","±2,117","6.2%","±0.1","41,020","±1,298","7.3%","±0.2","223,247","*****","6.0%","*****"
"    5 to 9 years","309,658","±7,128","6.5%","±0.1","49,870","±2,498","7.0%","±0.3","448,623","±9,711","7.0%","±0.2","195,858","±4,997","6.7%","±0.2","2,536,654","±22,236","6.8%","±0.1","354,521","±7,249","7.0%","±0.1","222,475","±5,893","6.2%","±0.2","56,077","±2,768","6.2%","±0.3","27,268","±1,651","4.5%","±0.3","1,081,390","±12,881","5.7%","±0.1","707,281","±10,338","7.3%","±0.1","82,338","±3,115","6.0%","±0.2","120,128","±3,854","7.6%","±0.2","859,276","±10,712","6.7%","±0.1","453,123","±7,759","7.0%","±0.1","199,422","±4,759","6.5%","±0.2","208,290","±4,756","7.3%","±0.2","280,498","±6,436","6.5%","±0.1","311,812","±6,977","6.9%","±0.2","74,490","±3,023","5.6%","±0.2","370,753","±6,809","6.4%","±0.1","392,674","±9,609","6.0%","±0.1","629,492","±8,764","6.4%","±0.1","347,390","±6,587","6.5%","±0.1","206,251","±5,788","6.9%","±0.2","386,091","±6,703","6.4%","±0.1","57,955","±3,106","5.8%","±0.3","127,397","±3,629","7.0%","±0.2","183,486","±6,789","6.8%","±0.3","79,105","±3,684","6.0%","±0.3","561,705","±9,072","6.4%","±0.1","142,818","±4,501","6.9%","±0.2","1,158,483","±11,513","6.0%","±0.1","631,596","±12,035","6.6%","±0.1","42,247","±2,036","6.3%","±0.3","748,547","±9,758","6.5%","±0.1","259,146","±5,239","6.9%","±0.1","236,299","±6,014","6.2%","±0.2","760,840","±9,178","6.0%","±0.1","61,295","±3,227","5.8%","±0.3","292,723","±7,454","6.3%","±0.2","51,621","±2,447","6.3%","±0.3","407,902","±7,824","6.4%","±0.1","1,939,137","±18,828","7.7%","±0.1","249,502","±5,056","9.0%","±0.2","32,676","±1,829","5.2%","±0.3","509,030","±8,697","6.3%","±0.1","437,222","±8,356","6.5%","±0.1","107,557","±3,751","5.8%","±0.2","362,759","±6,133","6.4%","±0.1","38,708","±2,448","6.9%","±0.4","236,531","±6,417","6.4%","±0.2"
"    10 to 14 years","318,460","±7,317","6.7%","±0.2","52,372","±2,634","7.3%","±0.4","457,339","±9,384","7.1%","±0.1","201,519","±4,752","6.9%","±0.2","2,578,286","±22,734","6.9%","±0.1","330,545","±7,138","6.5%","±0.1","241,092","±5,853","6.7%","±0.2","56,954","±2,780","6.3%","±0.3","23,969","±1,675","4.0%","±0.3","1,138,125","±12,655","6.0%","±0.1","685,192","±10,053","7.1%","±0.1","83,521","±3,099","6.1%","±0.2","119,406","±3,906","7.6%","±0.2","883,192","±10,296","6.9%","±0.1","446,162","±8,106","6.9%","±0.1","200,675","±4,737","6.6%","±0.2","194,224","±5,287","6.8%","±0.2","289,829","±6,246","6.7%","±0.1","305,362","±7,309","6.7%","±0.2","79,752","±2,900","6.0%","±0.2","376,118","±6,769","6.5%","±0.1","399,256","±9,326","6.1%","±0.1","681,211","±8,912","6.9%","±0.1","361,094","±6,824","6.8%","±0.1","209,018","±6,658","7.0%","±0.2","397,628","±6,459","6.6%","±0.1","63,126","±3,132","6.4%","±0.3","126,868","±3,732","6.9%","±0.2","183,814","±6,696","6.8%","±0.2","83,644","±3,496","6.4%","±0.3","591,625","±9,179","6.7%","±0.1","143,840","±4,253","7.0%","±0.2","1,212,706","±11,068","6.3%","±0.1","643,244","±11,169","6.7%","±0.1","38,073","±2,003","5.6%","±0.3","774,070","±9,097","6.7%","±0.1","259,246","±5,513","6.9%","±0.1","245,021","±5,258","6.4%","±0.1","784,144","±9,085","6.2%","±0.1","63,426","±3,451","6.0%","±0.3","305,301","±7,153","6.6%","±0.2","59,025","±2,561","7.2%","±0.3","428,186","±7,812","6.7%","±0.1","1,898,149","±18,494","7.5%","±0.1","229,648","±5,377","8.3%","±0.2","39,868","±1,601","6.4%","±0.3","520,776","±8,062","6.5%","±0.1","436,106","±8,247","6.5%","±0.1","108,815","±3,764","5.9%","±0.2","383,481","±5,843","6.7%","±0.1","35,838","±2,294","6.3%","±0.4","268,378","±6,220","7.2%","±0.2"
"    15 to 19 years","348,077","±5,228","7.3%","±0.1","51,610","±1,908","7.2%","±0.3","460,186","±3,796","7.2%","±0.1","210,433","±5,040","7.2%","±0.2","2,825,690","±8,034","7.6%","±0.1","343,494","±4,163","6.8%","±0.1","249,494","±1,865","7.0%","±0.1","67,720","±1,635","7.5%","±0.2","42,688","±2,234","7.1%","±0.4","1,230,917","±7,805","6.5%","±0.1","719,466","±8,085","7.4%","±0.1","86,055","±1,691","6.3%","±0.1","115,754","±2,583","7.4%","±0.2","927,071","±6,392","7.2%","±0.1","472,138","±4,265","7.3%","±0.1","221,053","±3,791","7.2%","±0.1","207,891","±4,029","7.3%","±0.1","298,606","±4,420","6.9%","±0.1","324,812","±4,999","7.1%","±0.1","86,846","±1,452","6.5%","±0.1","408,447","±3,585","7.1%","±0.1","462,057","±3,037","7.0%","±0.1","737,958","±4,382","7.5%","±0.1","366,046","±2,466","6.9%","±0.1","224,555","±4,567","7.6%","±0.2","422,543","±4,417","7.0%","±0.1","69,524","±2,000","7.0%","±0.2","128,961","±2,968","7.0%","±0.2","183,746","±2,316","6.8%","±0.1","92,952","±1,818","7.1%","±0.1","597,009","±4,025","6.8%","±0.1","150,681","±3,523","7.3%","±0.2","1,366,191","±4,708","7.0%","±0.1","667,184","±8,033","7.0%","±0.1","47,276","±1,598","7.0%","±0.2","815,714","±6,139","7.1%","±0.1","262,735","±4,565","7.0%","±0.1","251,362","±2,948","6.5%","±0.1","907,135","±4,530","7.1%","±0.1","79,707","±1,957","7.6%","±0.2","330,539","±5,645","7.1%","±0.1","60,393","±2,175","7.4%","±0.3","437,892","±4,532","6.9%","±0.1","1,889,030","±10,576","7.5%","±0.1","222,952","±2,570","8.0%","±0.1","45,157","±1,033","7.2%","±0.2","564,057","±9,456","7.0%","±0.1","458,207","±4,554","6.8%","±0.1","122,953","±3,266","6.6%","±0.2","402,499","±3,998","7.1%","±0.1","38,720","±2,088","6.9%","±0.4","284,254","±3,009","7.6%","±0.1"
"    20 to 24 years","339,513","±6,013","7.1%","±0.1","55,974","±1,774","7.8%","±0.2","445,055","±3,598","6.9%","±0.1","199,923","±5,775","6.8%","±0.2","2,782,635","±8,205","7.5%","±0.1","350,189","±4,168","6.9%","±0.1","227,944","±1,816","6.4%","±0.1","62,144","±1,811","6.9%","±0.2","60,843","±2,203","10.1%","±0.4","1,247,729","±7,723","6.6%","±0.1","682,711","±9,058","7.0%","±0.1","98,086","±1,914","7.2%","±0.1","107,625","±2,674","6.8%","±0.2","874,934","±5,563","6.8%","±0.1","456,085","±4,752","7.0%","±0.1","210,283","±3,716","6.9%","±0.1","202,983","±5,098","7.1%","±0.2","294,270","±4,881","6.8%","±0.1","342,327","±5,712","7.5%","±0.1","80,895","±1,926","6.1%","±0.1","392,262","±4,151","6.8%","±0.1","478,034","±2,748","7.3%","±0.1","666,732","±4,853","6.7%","±0.1","351,840","±2,735","6.6%","±0.1","216,727","±4,960","7.3%","±0.2","417,694","±6,240","7.0%","±0.1","65,469","±2,098","6.6%","±0.2","131,187","±3,156","7.2%","±0.2","177,361","±2,053","6.6%","±0.1","84,430","±1,644","6.4%","±0.1","541,810","±3,913","6.2%","±0.1","143,248","±4,245","6.9%","±0.2","1,414,236","±5,520","7.3%","±0.1","661,893","±7,845","6.9%","±0.1","59,516","±1,544","8.8%","±0.2","760,950","±5,479","6.6%","±0.1","267,458","±3,257","7.1%","±0.1","255,357","±3,145","6.7%","±0.1","876,291","±6,420","6.9%","±0.1","81,367","±1,670","7.7%","±0.2","331,599","±5,982","7.2%","±0.1","55,557","±2,063","6.8%","±0.3","434,113","±4,894","6.8%","±0.1","1,829,338","±10,527","7.2%","±0.1","225,940","±2,491","8.1%","±0.1","44,949","±1,088","7.2%","±0.2","562,021","±10,411","7.0%","±0.1","469,095","±4,311","7.0%","±0.1","118,024","±3,854","6.4%","±0.2","386,961","±4,377","6.8%","±0.1","39,223","±1,859","6.9%","±0.3","264,790","±2,995","7.1%","±0.1"
"    25 to 34 years","601,653","±5,700","12.6%","±0.1","103,690","±2,025","14.5%","±0.3","859,440","±3,578","13.4%","±0.1","368,047","±5,424","12.6%","±0.2","5,323,453","±6,856","14.3%","±0.1","728,299","±3,292","14.4%","±0.1","421,750","±2,319","11.8%","±0.1","110,516","±1,431","12.3%","±0.2","126,322","±555","20.9%","±0.1","2,270,950","±7,740","12.1%","±0.1","1,322,903","±8,625","13.6%","±0.1","180,950","±1,909","13.3%","±0.1","209,440","±2,979","13.3%","±0.2","1,774,676","±5,318","13.8%","±0.1","828,516","±5,103","12.8%","±0.1","383,022","±3,600","12.6%","±0.1","372,496","±4,462","13.0%","±0.2","563,583","±4,295","13.0%","±0.1","622,584","±4,996","13.7%","±0.1","144,557","±1,616","10.9%","±0.1","767,284","±3,820","13.3%","±0.1","844,548","±2,675","12.9%","±0.1","1,161,947","±4,323","11.8%","±0.1","718,057","±4,165","13.5%","±0.1","375,964","±6,231","12.7%","±0.2","775,040","±4,250","12.9%","±0.1","121,182","±2,144","12.2%","±0.2","241,827","±3,367","13.2%","±0.2","386,326","±2,534","14.3%","±0.1","143,669","±2,170","10.9%","±0.2","1,109,449","±2,899","12.6%","±0.1","263,857","±4,440","12.8%","±0.2","2,659,287","±5,833","13.7%","±0.1","1,243,403","±8,991","13.0%","±0.1","88,894","±1,388","13.2%","±0.2","1,419,211","±4,717","12.3%","±0.1","506,655","±5,211","13.5%","±0.1","524,977","±4,316","13.7%","±0.1","1,511,925","±5,014","11.9%","±0.1","126,617","±1,497","12.0%","±0.1","587,427","±6,172","12.7%","±0.1","103,800","±2,295","12.7%","±0.3","814,655","±4,687","12.8%","±0.1","3,607,541","±9,923","14.3%","±0.1","449,176","±2,414","16.2%","±0.1","69,728","±1,260","11.1%","±0.2","1,084,897","±9,528","13.5%","±0.1","936,043","±4,613","13.9%","±0.1","217,955","±3,380","11.8%","±0.2","717,027","±3,675","12.6%","±0.1","76,868","±2,527","13.6%","±0.4","482,756","±2,535","13.0%","±0.1"
