"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alabama!!Percent","Alabama!!Percent Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Alaska!!Percent","Alaska!!Percent Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arizona!!Percent","Arizona!!Percent Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","Arkansas!!Percent","Arkansas!!Percent Margin of Error","California!!Estimate","California!!Margin of Error","California!!Percent","California!!Percent Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Colorado!!Percent","Colorado!!Percent Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Connecticut!!Percent","Connecticut!!Percent Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","Delaware!!Percent","Delaware!!Percent Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","District of Columbia!!Percent","District of Columbia!!Percent Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Florida!!Percent","Florida!!Percent Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Georgia!!Percent","Georgia!!Percent Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Hawaii!!Percent","Hawaii!!Percent Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Idaho!!Percent","Idaho!!Percent Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Illinois!!Percent","Illinois!!Percent Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Indiana!!Percent","Indiana!!Percent Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Iowa!!Percent","Iowa!!Percent Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kansas!!Percent","Kansas!!Percent Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Kentucky!!Percent","Kentucky!!Percent Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Louisiana!!Percent","Louisiana!!Percent Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maine!!Percent","Maine!!Percent Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Maryland!!Percent","Maryland!!Percent Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Michigan!!Percent","Michigan!!Percent Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Minnesota!!Percent","Minnesota!!Percent Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Mississippi!!Percent","Mississippi!!Percent Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Missouri!!Percent","Missouri!!Percent Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Montana!!Percent","Montana!!Percent Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nebraska!!Percent","Nebraska!!Percent Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","Nevada!!Percent","Nevada!!Percent Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Hampshire!!Percent","New Hampshire!!Percent Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Jersey!!Percent","New Jersey!!Percent Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New Mexico!!Percent","New Mexico!!Percent Margin of Error","New York!!Estimate","New York!!Margin of Error","New York!!Percent","New York!!Percent Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Carolina!!Percent","North Carolina!!Percent Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","North Dakota!!Percent","North Dakota!!Percent Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Ohio!!Percent","Ohio!!Percent Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oklahoma!!Percent","Oklahoma!!Percent Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Oregon!!Percent","Oregon!!Percent Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Pennsylvania!!Percent","Pennsylvania!!Percent Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","Rhode Island!!Percent","Rhode Island!!Percent Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Carolina!!Percent","South Carolina!!Percent Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","South Dakota!!Percent","South Dakota!!Percent Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Tennessee!!Percent","Tennessee!!Percent Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Texas!!Percent","Texas!!Percent Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Utah!!Percent","Utah!!Percent Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Vermont!!Percent","Vermont!!Percent Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Virginia!!Percent","Virginia!!Percent Margin of Error","Washington!!Estimate","Washington!!Margin of Error","Washington!!Percent","Washington!!Percent Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","West Virginia!!Percent","West Virginia!!Percent Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wisconsin!!Percent","Wisconsin!!Percent Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Wyoming!!Percent","Wyoming!!Percent Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error","Puerto Rico!!Percent","Puerto Rico!!Percent Margin of Error"
"SEX AND AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","4,863,300","*****","4,863,300","(X)","741,894","*****","741,894","(X)","6,931,071","*****","6,931,071","(X)","2,988,248","*****","2,988,248","(X)","39,250,017","*****","39,250,017","(X)","5,540,545","*****","5,540,545","(X)","3,576,452","*****","3,576,452","(X)","952,065","*****","952,065","(X)","681,170","*****","681,170","(X)","20,612,439","*****","20,612,439","(X)","10,310,371","*****","10,310,371","(X)","1,428,557","*****","1,428,557","(X)","1,683,140","*****","1,683,140","(X)","12,801,539","*****","12,801,539","(X)","6,633,053","*****","6,633,053","(X)","3,134,693","*****","3,134,693","(X)","2,907,289","*****","2,907,289","(X)","4,436,974","*****","4,436,974","(X)","4,681,666","*****","4,681,666","(X)","1,331,479","*****","1,331,479","(X)","6,016,447","*****","6,016,447","(X)","6,811,779","*****","6,811,779","(X)","9,928,300","*****","9,928,300","(X)","5,519,952","*****","5,519,952","(X)","2,988,726","*****","2,988,726","(X)","6,093,000","*****","6,093,000","(X)","1,042,520","*****","1,042,520","(X)","1,907,116","*****","1,907,116","(X)","2,940,058","*****","2,940,058","(X)","1,334,795","*****","1,334,795","(X)","8,944,469","*****","8,944,469","(X)","2,081,015","*****","2,081,015","(X)","19,745,289","*****","19,745,289","(X)","10,146,788","*****","10,146,788","(X)","757,953","*****","757,953","(X)","11,614,373","*****","11,614,373","(X)","3,923,561","*****","3,923,561","(X)","4,093,465","*****","4,093,465","(X)","12,784,227","*****","12,784,227","(X)","1,056,426","*****","1,056,426","(X)","4,961,119","*****","4,961,119","(X)","865,454","*****","865,454","(X)","6,651,194","*****","6,651,194","(X)","27,862,596","*****","27,862,596","(X)","3,051,217","*****","3,051,217","(X)","624,594","*****","624,594","(X)","8,411,808","*****","8,411,808","(X)","7,288,000","*****","7,288,000","(X)","1,831,102","*****","1,831,102","(X)","5,778,709","*****","5,778,709","(X)","585,501","*****","585,501","(X)","3,411,307","*****","3,411,307","(X)"
"        Male","2,356,052","±5,269","48.4%","±0.1","390,573","±2,254","52.6%","±0.3","3,444,228","±2,680","49.7%","±0.1","1,468,782","±4,455","49.2%","±0.1","19,491,231","±4,158","49.7%","±0.1","2,790,701","±3,484","50.4%","±0.1","1,745,153","±1,844","48.8%","±0.1","460,232","±1,173","48.3%","±0.1","323,591","±455","47.5%","±0.1","10,070,860","±6,755","48.9%","±0.1","5,018,150","±8,005","48.7%","±0.1","718,057","±1,805","50.3%","±0.1","841,203","±2,599","50.0%","±0.2","6,289,724","±4,413","49.1%","±0.1","3,267,337","±5,176","49.3%","±0.1","1,556,668","±2,984","49.7%","±0.1","1,448,853","±4,227","49.8%","±0.1","2,179,814","±4,640","49.1%","±0.1","2,291,880","±4,966","49.0%","±0.1","650,702","±1,923","48.9%","±0.1","2,917,773","±2,890","48.5%","±0.1","3,305,817","±2,430","48.5%","±0.1","4,883,220","±3,044","49.2%","±0.1","2,747,946","±3,202","49.8%","±0.1","1,440,934","±5,584","48.2%","±0.2","2,994,651","±4,432","49.1%","±0.1","526,023","±2,537","50.5%","±0.2","950,124","±2,703","49.8%","±0.1","1,473,153","±2,014","50.1%","±0.1","664,722","±1,972","49.8%","±0.1","4,370,211","±2,131","48.9%","±0.1","1,030,224","±3,062","49.5%","±0.1","9,582,050","±4,460","48.5%","±0.1","4,933,381","±6,593","48.6%","±0.1","390,181","±2,294","51.5%","±0.3","5,691,600","±5,306","49.0%","±0.1","1,943,273","±2,726","49.5%","±0.1","2,026,038","±3,925","49.5%","±0.1","6,262,870","±4,620","49.0%","±0.1","511,358","±1,550","48.4%","±0.1","2,405,343","±4,669","48.5%","±0.1","435,668","±1,995","50.3%","±0.2","3,247,058","±5,229","48.8%","±0.1","13,830,953","±9,002","49.6%","±0.1","1,538,145","±2,539","50.4%","±0.1","307,874","±1,372","49.3%","±0.2","4,135,485","±5,825","49.2%","±0.1","3,639,726","±3,669","49.9%","±0.1","900,913","±3,026","49.2%","±0.2","2,872,921","±3,718","49.7%","±0.1","298,205","±2,006","50.9%","±0.3","1,625,567","±3,242","47.7%","±0.1"
"        Female","2,507,248","±5,269","51.6%","±0.1","351,321","±2,254","47.4%","±0.3","3,486,843","±2,680","50.3%","±0.1","1,519,466","±4,455","50.8%","±0.1","19,758,786","±4,158","50.3%","±0.1","2,749,844","±3,484","49.6%","±0.1","1,831,299","±1,844","51.2%","±0.1","491,833","±1,173","51.7%","±0.1","357,579","±455","52.5%","±0.1","10,541,579","±6,755","51.1%","±0.1","5,292,221","±8,005","51.3%","±0.1","710,500","±1,805","49.7%","±0.1","841,937","±2,599","50.0%","±0.2","6,511,815","±4,413","50.9%","±0.1","3,365,716","±5,176","50.7%","±0.1","1,578,025","±2,984","50.3%","±0.1","1,458,436","±4,227","50.2%","±0.1","2,257,160","±4,640","50.9%","±0.1","2,389,786","±4,966","51.0%","±0.1","680,777","±1,923","51.1%","±0.1","3,098,674","±2,890","51.5%","±0.1","3,505,962","±2,430","51.5%","±0.1","5,045,080","±3,044","50.8%","±0.1","2,772,006","±3,202","50.2%","±0.1","1,547,792","±5,584","51.8%","±0.2","3,098,349","±4,432","50.9%","±0.1","516,497","±2,537","49.5%","±0.2","956,992","±2,703","50.2%","±0.1","1,466,905","±2,014","49.9%","±0.1","670,073","±1,972","50.2%","±0.1","4,574,258","±2,131","51.1%","±0.1","1,050,791","±3,062","50.5%","±0.1","10,163,239","±4,460","51.5%","±0.1","5,213,407","±6,593","51.4%","±0.1","367,772","±2,294","48.5%","±0.3","5,922,773","±5,306","51.0%","±0.1","1,980,288","±2,726","50.5%","±0.1","2,067,427","±3,925","50.5%","±0.1","6,521,357","±4,620","51.0%","±0.1","545,068","±1,550","51.6%","±0.1","2,555,776","±4,669","51.5%","±0.1","429,786","±1,995","49.7%","±0.2","3,404,136","±5,229","51.2%","±0.1","14,031,643","±9,002","50.4%","±0.1","1,513,072","±2,539","49.6%","±0.1","316,720","±1,372","50.7%","±0.2","4,276,323","±5,825","50.8%","±0.1","3,648,274","±3,669","50.1%","±0.1","930,189","±3,026","50.8%","±0.2","2,905,788","±3,718","50.3%","±0.1","287,296","±2,006","49.1%","±0.3","1,785,740","±3,242","52.3%","±0.1"
"    Under 5 years","286,643","±3,241","5.9%","±0.1","52,495","±797","7.1%","±0.1","436,322","±1,477","6.3%","±0.1","188,716","±2,976","6.3%","±0.1","2,482,422","±2,763","6.3%","±0.1","335,071","±1,994","6.0%","±0.1","185,029","±950","5.2%","±0.1","55,241","±775","5.8%","±0.1","43,546","±182","6.4%","±0.1","1,117,467","±2,952","5.4%","±0.1","654,878","±4,445","6.4%","±0.1","90,722","±28","6.4%","±0.1","114,143","±1,710","6.8%","±0.1","769,490","±2,349","6.0%","±0.1","420,367","±3,036","6.3%","±0.1","197,487","±1,804","6.3%","±0.1","197,406","±1,979","6.8%","±0.1","272,949","±2,784","6.2%","±0.1","306,963","±3,568","6.6%","±0.1","63,941","±938","4.8%","±0.1","362,895","±1,594","6.0%","±0.1","359,774","±1,483","5.3%","±0.1","571,663","±2,272","5.8%","±0.1","351,080","±1,829","6.4%","±0.1","186,830","±2,989","6.3%","±0.1","371,532","±2,913","6.1%","±0.1","61,143","±1,458","5.9%","±0.1","132,157","±1,865","6.9%","±0.1","183,361","±1,011","6.2%","±0.1","64,478","±1,242","4.8%","±0.1","520,170","±1,246","5.8%","±0.1","125,126","±1,342","6.0%","±0.1","1,159,019","±2,442","5.9%","±0.1","594,593","±4,096","5.9%","±0.1","54,898","±1,333","7.2%","±0.2","692,745","±2,813","6.0%","±0.1","264,096","±1,583","6.7%","±0.1","234,582","±2,004","5.7%","±0.1","709,743","±2,168","5.6%","±0.1","54,144","±807","5.1%","±0.1","290,012","±2,461","5.8%","±0.1","60,892","±1,176","7.0%","±0.1","404,168","±3,349","6.1%","±0.1","2,006,911","±5,763","7.2%","±0.1","253,422","±1,649","8.3%","±0.1","30,464","±783","4.9%","±0.1","503,782","±3,269","6.0%","±0.1","449,944","±1,869","6.2%","±0.1","101,668","±1,659","5.6%","±0.1","334,091","±2,085","5.8%","±0.1","37,873","±1,292","6.5%","±0.2","159,753","±1,598","4.7%","±0.1"
"    5 to 9 years","312,788","±6,816","6.4%","±0.1","53,661","±2,521","7.2%","±0.3","459,892","±8,470","6.6%","±0.1","201,291","±7,040","6.7%","±0.2","2,524,786","±21,052","6.4%","±0.1","361,119","±7,122","6.5%","±0.1","200,888","±5,263","5.6%","±0.1","54,716","±2,814","5.7%","±0.3","34,709","±2,392","5.1%","±0.4","1,133,256","±17,948","5.5%","±0.1","699,964","±12,313","6.8%","±0.1","86,303","±3,194","6.0%","±0.2","126,367","±4,712","7.5%","±0.3","807,357","±11,640","6.3%","±0.1","444,103","±7,898","6.7%","±0.1","203,791","±5,071","6.5%","±0.2","202,670","±5,068","7.0%","±0.2","278,563","±5,479","6.3%","±0.1","305,789","±8,083","6.5%","±0.2","74,853","±3,002","5.6%","±0.2","376,707","±7,454","6.3%","±0.1","364,085","±7,742","5.3%","±0.1","599,374","±9,148","6.0%","±0.1","367,625","±5,778","6.7%","±0.1","205,379","±6,080","6.9%","±0.2","383,413","±8,083","6.3%","±0.1","63,475","±2,918","6.1%","±0.3","132,707","±3,889","7.0%","±0.2","189,607","±5,398","6.4%","±0.2","74,122","±3,023","5.6%","±0.2","550,741","±9,704","6.2%","±0.1","138,035","±5,343","6.6%","±0.3","1,154,082","±12,945","5.8%","±0.1","644,508","±10,128","6.4%","±0.1","49,715","±2,494","6.6%","±0.3","711,735","±9,360","6.1%","±0.1","271,613","±5,161","6.9%","±0.1","241,367","±5,295","5.9%","±0.1","730,999","±9,224","5.7%","±0.1","51,504","±3,053","4.9%","±0.3","309,962","±7,443","6.2%","±0.2","61,712","±2,585","7.1%","±0.3","414,174","±8,736","6.2%","±0.1","2,031,248","±18,357","7.3%","±0.1","268,655","±6,053","8.8%","±0.2","33,080","±1,806","5.3%","±0.3","523,512","±8,541","6.2%","±0.1","466,175","±7,671","6.4%","±0.1","102,830","±4,102","5.6%","±0.2","360,129","±6,304","6.2%","±0.1","43,974","±2,755","7.5%","±0.5","185,471","±5,976","5.4%","±0.2"
"    10 to 14 years","301,747","±6,734","6.2%","±0.1","51,068","±2,510","6.9%","±0.3","455,551","±8,275","6.6%","±0.1","197,333","±6,661","6.6%","±0.2","2,546,294","±20,640","6.5%","±0.1","353,781","±7,418","6.4%","±0.1","224,010","±5,396","6.3%","±0.2","59,275","±2,971","6.2%","±0.3","26,875","±2,323","3.9%","±0.3","1,166,476","±17,700","5.7%","±0.1","723,468","±12,320","7.0%","±0.1","83,499","±3,176","5.8%","±0.2","121,833","±4,551","7.2%","±0.3","830,625","±11,470","6.5%","±0.1","437,512","±8,011","6.6%","±0.1","203,968","±4,905","6.5%","±0.2","196,909","±5,080","6.8%","±0.2","284,772","±5,967","6.4%","±0.1","317,199","±7,995","6.8%","±0.2","68,957","±2,939","5.2%","±0.2","374,531","±7,360","6.2%","±0.1","404,687","±7,853","5.9%","±0.1","618,799","±9,166","6.2%","±0.1","354,541","±5,890","6.4%","±0.1","208,359","±6,258","7.0%","±0.2","394,332","±7,549","6.5%","±0.1","65,609","±2,704","6.3%","±0.3","132,814","±3,235","7.0%","±0.2","190,840","±5,091","6.5%","±0.2","72,489","±3,140","5.4%","±0.2","559,949","±9,858","6.3%","±0.1","141,195","±5,424","6.8%","±0.3","1,144,724","±12,380","5.8%","±0.1","657,271","±10,343","6.5%","±0.1","44,828","±2,334","5.9%","±0.3","740,373","±9,000","6.4%","±0.1","270,570","±5,362","6.9%","±0.1","242,789","±5,338","5.9%","±0.1","757,881","±9,524","5.9%","±0.1","64,345","±3,008","6.1%","±0.3","314,620","±7,644","6.3%","±0.2","58,129","±2,640","6.7%","±0.3","427,162","±8,580","6.4%","±0.1","2,051,493","±18,267","7.4%","±0.1","252,380","±5,982","8.3%","±0.2","33,976","±1,756","5.4%","±0.3","523,673","±8,544","6.2%","±0.1","442,606","±7,382","6.1%","±0.1","106,744","±4,015","5.8%","±0.2","365,683","±6,101","6.3%","±0.1","37,253","±2,883","6.4%","±0.5","211,269","±5,771","6.2%","±0.2"
"    15 to 19 years","335,687","±4,892","6.9%","±0.1","48,829","±1,937","6.6%","±0.3","475,013","±3,445","6.9%","±0.1","215,051","±4,692","7.2%","±0.2","2,585,154","±5,905","6.6%","±0.1","354,657","±4,286","6.4%","±0.1","249,315","±1,991","7.0%","±0.1","60,834","±1,650","6.4%","±0.2","37,591","±1,795","5.5%","±0.3","1,224,713","±7,670","5.9%","±0.1","735,575","±8,474","7.1%","±0.1","78,057","±1,969","5.5%","±0.1","121,495","±2,685","7.2%","±0.2","854,774","±5,029","6.7%","±0.1","464,192","±5,089","7.0%","±0.1","219,509","±3,304","7.0%","±0.1","205,526","±3,197","7.1%","±0.1","306,625","±5,799","6.9%","±0.1","315,906","±6,151","6.7%","±0.1","82,094","±1,708","6.2%","±0.1","385,317","±3,768","6.4%","±0.1","459,893","±3,355","6.8%","±0.1","672,620","±3,731","6.8%","±0.1","356,368","±2,971","6.5%","±0.1","219,814","±6,236","7.4%","±0.2","416,251","±5,265","6.8%","±0.1","65,750","±2,231","6.3%","±0.2","130,421","±2,130","6.8%","±0.1","179,975","±2,175","6.1%","±0.1","87,485","±2,083","6.6%","±0.2","571,917","±3,262","6.4%","±0.1","144,423","±3,210","6.9%","±0.2","1,247,594","±4,795","6.3%","±0.1","688,545","±7,813","6.8%","±0.1","48,827","±2,082","6.4%","±0.3","770,170","±4,824","6.6%","±0.1","265,757","±3,493","6.8%","±0.1","251,244","±4,084","6.1%","±0.1","832,809","±4,076","6.5%","±0.1","74,014","±1,573","7.0%","±0.1","330,759","±5,565","6.7%","±0.1","59,375","±2,204","6.9%","±0.3","430,207","±4,937","6.5%","±0.1","2,005,735","±8,876","7.2%","±0.1","239,732","±3,373","7.9%","±0.1","41,770","±1,396","6.7%","±0.2","562,657","±8,400","6.7%","±0.1","450,777","±4,467","6.2%","±0.1","112,942","±3,467","6.2%","±0.2","380,691","±3,426","6.6%","±0.1","37,465","±1,843","6.4%","±0.3","238,225","±4,249","7.0%","±0.1"
"    20 to 24 years","325,722","±4,515","6.7%","±0.1","56,890","±1,971","7.7%","±0.3","477,884","±3,052","6.9%","±0.1","195,409","±4,271","6.5%","±0.1","2,807,120","±5,568","7.2%","±0.1","390,411","±4,347","7.0%","±0.1","249,473","±2,847","7.0%","±0.1","59,452","±1,708","6.2%","±0.2","58,291","±1,871","8.6%","±0.3","1,266,856","±7,576","6.1%","±0.1","711,091","±8,000","6.9%","±0.1","99,039","±1,752","6.9%","±0.1","112,037","±3,043","6.7%","±0.2","874,074","±4,907","6.8%","±0.1","474,303","±4,891","7.2%","±0.1","222,918","±3,916","7.1%","±0.1","212,842","±3,889","7.3%","±0.1","298,556","±5,317","6.7%","±0.1","320,789","±6,526","6.9%","±0.1","75,065","±1,708","5.6%","±0.1","394,489","±3,979","6.6%","±0.1","495,825","±3,674","7.3%","±0.1","705,442","±3,840","7.1%","±0.1","365,055","±3,547","6.6%","±0.1","211,322","±6,346","7.1%","±0.2","406,458","±4,598","6.7%","±0.1","73,927","±2,294","7.1%","±0.2","135,197","±2,270","7.1%","±0.1","185,665","±2,031","6.3%","±0.1","88,635","±2,163","6.6%","±0.2","570,520","±3,461","6.4%","±0.1","140,855","±3,913","6.8%","±0.2","1,386,278","±5,146","7.0%","±0.1","684,686","±7,271","6.7%","±0.1","64,670","±1,901","8.5%","±0.3","777,289","±5,493","6.7%","±0.1","279,889","±3,963","7.1%","±0.1","265,531","±3,834","6.5%","±0.1","830,820","±4,383","6.5%","±0.1","78,374","±1,797","7.4%","±0.2","327,290","±5,343","6.6%","±0.1","59,452","±2,261","6.9%","±0.3","448,285","±4,656","6.7%","±0.1","1,991,929","±9,841","7.1%","±0.1","253,784","±2,634","8.3%","±0.1","45,741","±1,496","7.3%","±0.2","577,011","±8,017","6.9%","±0.1","481,943","±3,930","6.6%","±0.1","115,161","±3,874","6.3%","±0.2","404,786","±3,550","7.0%","±0.1","38,142","±2,332","6.5%","±0.4","244,392","±4,603","7.2%","±0.1"
"    25 to 34 years","629,565","±7,147","12.9%","±0.1","121,629","±2,568","16.4%","±0.3","929,487","±3,351","13.4%","±0.1","382,578","±4,827","12.8%","±0.2","5,902,164","±5,589","15.0%","±0.1","837,560","±4,068","15.1%","±0.1","436,596","±2,377","12.2%","±0.1","128,569","±1,402","13.5%","±0.1","154,662","±208","22.7%","±0.1","2,660,916","±7,021","12.9%","±0.1","1,403,742","±8,323","13.6%","±0.1","205,844","±1,647","14.4%","±0.1","220,555","±3,790","13.1%","±0.2","1,765,751","±5,403","13.8%","±0.1","857,485","±6,426","12.9%","±0.1","395,052","±4,000","12.6%","±0.1","377,168","±4,104","13.0%","±0.1","564,723","±4,137","12.7%","±0.1","671,108","±7,428","14.3%","±0.2","157,452","±1,661","11.8%","±0.1","832,284","±4,902","13.8%","±0.1","950,957","±2,627","14.0%","±0.1","1,248,301","±3,960","12.6%","±0.1","744,809","±3,982","13.5%","±0.1","378,612","±6,699","12.7%","±0.2","799,577","±5,111","13.1%","±0.1","126,836","±2,198","12.2%","±0.2","255,384","±3,137","13.4%","±0.2","424,305","±2,287","14.4%","±0.1","160,594","±1,981","12.0%","±0.1","1,157,062","±2,640","12.9%","±0.1","276,979","±4,208","13.3%","±0.2","2,886,788","±4,596","14.6%","±0.1","1,321,286","±8,630","13.0%","±0.1","116,058","±2,747","15.3%","±0.4","1,500,872","±4,454","12.9%","±0.1","536,769","±3,969","13.7%","±0.1","573,033","±4,317","14.0%","±0.1","1,674,043","±5,250","13.1%","±0.1","142,792","±1,883","13.5%","±0.2","646,998","±7,063","13.0%","±0.1","111,536","±2,582","12.9%","±0.3","886,029","±5,282","13.3%","±0.1","4,061,590","±11,951","14.6%","±0.1","448,034","±3,024","14.7%","±0.1","71,885","±1,408","11.5%","±0.2","1,152,326","±6,815","13.7%","±0.1","1,074,803","±4,737","14.7%","±0.1","216,104","±2,458","11.8%","±0.1","730,022","±3,742","12.6%","±0.1","80,974","±2,673","13.8%","±0.5","413,129","±5,104","12.1%","±0.1"
